,handle,time
0,Ichiban,1447612500
1,Antoniuk,1379180400
2,Rafiki53,1405263600
3,PhamQuangHuy,1430073000
4,satyaki3794,1419960600
5,zhangzj,1442425500
6,ICouldHaveLied,1447612500
7,cpphamza,1300471200
8,TheConfessor,1448991300
9,NourElRashidy,1438284000
10,MathCrusader,1446662700
11,abcdef6199,1447612500
12,TONYTRAN,1413129600
13,Misha100896,1371056400
14,Mopriestt,1361381400
15,I_love_Varechka,1447612500
16,Guliash,1423340100
17,maximumSHOT,1421593200
18,lunawyll,1447612500
19,AlvinMax,1448390100
20,kesakiyo,1447612500
21,ATofighi,1448390100
22,RemmargorP,1426953600
23,6eJIa9IzZzTeHb,1405782000
24,Finalist,1447612500
25,toomas,1437580800
26,manoprenko,1447612500
27,stuno,1447612500
28,hoangduong,1447612500
29,Edw1N_,1426953600
30,softmob,1430073000
31,dai,1447612500
32,I.Smirn0ff,1447612500
33,nmakarov,1447612500
34,Marcil,1454094600
35,Jakube,1446316200
36,zuz,1447612500
37,afedor,1426963500
38,EKGMA,1428174300
39,sidhant,1444156200
40,shtorm941,1447612500
41,J_X,1445770800
42,ksjuchi,1302886800
43,stdioH,1438284000
44,lixintong,1445770800
45,mahbubcseju,1448044500
46,tafit3,1412524800
47,VNOI,1447612500
48,AnatolyTolstobrov,1432665300
49,Nicola95,1454256300
50,acmASCIS,1446316200
51,gourmet,1446662700
52,_XuMuk_,1447612500
53,please_delete_account,1412524800
54,Dark_Alex,1447612500
55,mredigonda,1456515900
56,szilard,1450895700
57,rafael859,1426617900
58,felix,1423340100
59,bertho_coder,1432665300
60,adarshpugalia,1449684300
61,bukefala,1448390100
62,golEEE,1445770800
63,anzu,1433604600
64,volverine,1419445800
65,NedoL,1446316200
66,about_30_ninjas,1429295400
67,Baby_Steps,1402682400
68,Ringod,1414177800
69,hiThere23,1448390100
70,Arturgo,1426963500
71,alex_bucevschi,1465410900
72,Snezhok,1422902100
73,_Ramtin_,1446316200
74,jianzhi,1464195900
75,Neverauskas,1446662700
76,hirokazu1020,1406914200
77,Dixtosa,1388424600
78,mrthefakeperson,1483116300
79,ilovetourist,1426617900
80,ktesar,1388338200
81,ipaljak,1435171200
82,luckytoilet,1430073000
83,cip999,1489858500
84,ajinkya1p3,1447612500
85,Tifuera,1377883800
86,mkisic,1419960600
87,sanketM,1448390100
88,cjoa,1313254800
89,bixind,1441910400
90,Zorua,1448044500
91,chm517,1406489400
92,drd93,1557421500
93,Muh,1413129600
94,alapshin,1375560000
95,shivamkakkar,1448044500
96,Kuzey,1446316200
97,Smoge,1428174300
98,aka.Sohieb,1456690200
99,maha1192,1447612500
100,innok96,1447612500
101,operasfantom,1450895700
102,Harry.Guo2012,1446662700
103,vsokolov,1426963500
104,edufgf,1483720500
105,kieuquocdat123,1448390100
106,SoMuchDrama,1448044500
107,Un-F0cking-believable,1447612500
108,vanogam,1424198100
109,SiERic,1458752400
110,femsub,1444156200
111,ermolmak,1447612500
112,Honour_00,1422902100
113,Mihai22e,1416597600
114,Starcall31,1456515900
115,Shavkat_Aminov,1441910400
116,hsnprsd,1423340100
117,RedNextCentury,1412524800
118,Basha,1447612500
119,khadaev,1444156200
120,cong741,1419960600
121,zhuaiballl,1466706900
