,handle,time
0,Antoniuk,1343669400
1,Rafiki53,1390584900
2,cpphamza,1270748700
3,TheConfessor,1432060200
4,NourElRashidy,1389979800
5,MathCrusader,1442425500
6,abcdef6199,1444935600
7,TONYTRAN,1405263600
8,Misha100896,1348507800
9,Mopriestt,1338744600
10,I_love_Varechka,1400922000
11,Guliash,1360603800
12,maximumSHOT,1418495400
13,lunawyll,1397756400
14,AlvinMax,1418841000
15,kesakiyo,1406223000
16,ATofighi,1391449500
17,RemmargorP,1389979800
18,6eJIa9IzZzTeHb,1360776600
19,Finalist,1415725200
20,toomas,1417458600
21,manoprenko,1399051800
22,stuno,1401634800
23,hoangduong,1371231000
24,Edw1N_,1418841000
25,softmob,1331053200
26,I.Smirn0ff,1401471000
27,Marcil,1400693400
28,Jakube,1444156200
29,EKGMA,1401903000
30,sidhant,1406223000
31,shtorm941,1303923600
32,J_X,1422902100
33,ksjuchi,1270143900
34,omar.fmc,1417626000
35,mahbubcseju,1395509400
36,tafit3,1398619800
37,Nicola95,1391449500
38,_XuMuk_,1410111000
39,please_delete_account,1408123800
40,vinitgandhi007,1439490600
41,mredigonda,1421593200
42,rafael859,1389547800
43,felix,1344274200
44,bertho_coder,1394040600
45,bukefala,1395523800
46,bev,1400693400
47,loskutov,1417458600
48,anzu,1423938600
49,volverine,1395509400
50,NedoL,1424804400
51,about_30_ninjas,1419445800
52,Baby_Steps,1394472600
53,Ringod,1385487000
54,hiThere23,1440268200
55,Arturgo,1416742800
56,alex_bucevschi,1406489400
57,Snezhok,1406489400
58,Neverauskas,1303233300
59,hirokazu1020,1352655000
60,Dixtosa,1353945600
61,ktesar,1316797200
62,yungchienliu,1438799400
63,ajinkya1p3,1424804400
64,Tifuera,1369935000
65,mkisic,1405263600
66,sanketM,1425135600
67,cjoa,1285347600
68,kunalkukreja,1408123800
69,bixind,1411927500
70,chm517,1360603800
71,Nada,1409068800
72,drd93,1443438000
73,Muh,1362072600
74,ltjmao,1434652200
75,alapshin,1314118800
76,shivamkakkar,1422036000
77,Kuzey,1425287100
78,Smoge,1422383400
79,aka.Sohieb,1424804400
80,maha1192,1341336600
81,innok96,1411752600
82,operasfantom,1424198100
83,Harry.Guo2012,1405782000
84,edufgf,1363195800
85,SoMuchDrama,1417458600
86,av_life,1396170000
87,Un-F0cking-believable,1419960600
88,vanogam,1346088600
89,SiERic,1442425500
90,femsub,1436893800
91,ermolmak,1346434200
92,Honour_00,1372000200
93,olbabushkin,1438799400
94,Mihai22e,1360776600
95,MariaIzobava,1379698200
96,Shavkat_Aminov,1411752600
97,gvishal,1440268200
98,hsnprsd,1400175000
99,RedNextCentury,1384882500
100,Basha,1385746200
101,khadaev,1426953600
102,cong741,1406223000
103,Butane,1426617900
104,trunghai95,1438799400
105,NelsonMondialu,1365701400
106,Hellyscythe,1394991000
107,chitanda,1378548000
108,RostVel,1411752600
109,manu1311,1409068800
110,Woo,1397756400
111,Desert,1366911000
112,areke,1439490600
113,mik,1435683600
114,avv,1369935000
115,coderbd,1320865200
116,puru,1364923800
117,ThatMathGuy,1360603800
118,Eric_Valdivia,1349631000
119,rotoZOOM,1388338200
120,Badalyan_Shavarsh,1423938600
121,step_by_step,1442425500
122,shiratty8,1444648200
123,Majid,1413129600
124,Mohammad_Yasser,1394472600
125,abhishek1995,1410543000
126,gepard211,1429295400
127,LiChenKoh,1363541700
128,SaMer,1397844600
129,Anarivu,1313773200
130,hiro116s,1394991000
131,laurageorgescu,1437580800
132,Jhamra,1419445800
133,faiyaz26,1343669400
134,finish,1432319400
135,hbirler,1384882500
136,ordan,1398619800
137,ecapia,1348507800
138,tomtseng,1435421400
139,vikasgarg,1442946600
140,dark_ai,1286470800
141,franekmat,1411061400
142,Bleuj,1439231400
143,samerbekhazi,1433442600
144,Trafalgar,1443438000
145,Sokolov,1320865200
146,oxidizer,1412524800
147,Ishizu,1432665300
148,bhadra,1353087600
149,arnavkj95,1436893800
150,jin03002,1399830000
151,alexveliki,1356629700
152,asawasa,1417458600
153,fdfdfd123,1384882500
154,subhamdtu,1400922000
155,uestc-zgl,1439231400
156,whai,1382722200
157,Mrym.Rhmni,1428863400
158,nukeykt,1402682400
159,INVWVZ,1417458600
160,vpike,1394472600
161,arjundabra,1424198100
162,allllekssssa,1397756400
163,kirill146,1411061400
164,sohelH,1278694800
165,Infoshoc,1352655000
166,Tung_Duong,1415725200
167,prog-hero,1418841000
168,Rostislav_the_great,1383386400
169,UESTC_Sphinx,1437580800
170,ec24,1435421400
171,gorbunov,1334401200
172,hexiecs,1417458600
173,Bat-Orgil,1430418600
174,flyman3046,1411225200
175,Orenji.Sora,1430418600
176,Twenty_Fifteen,1447612500
177,Batman,1416597600
178,vanessi,1434134700
179,polingy,1394040600
180,ng420,1381426200
181,IanCastro,1413129600
182,dmikhalin,1400693400
183,eXeP,1403199000
184,rohitstm4,1412618400
185,StoneCold_,1401903000
186,duyduc.cpp,1444935600
187,GGOSinon,1443438000
188,danildudin,1408555800
189,Albafica,1400175000
190,kokokostya,1447612500
191,a305657,1374687900
192,darkstar1863,1270143900
193,Ele_Ele,1438799400
194,weeping_samael,1447612500
195,ssxiaohao,1385314200
196,kontr,1289239200
197,dragonslayerx,1391103600
198,farizazmip,1412524800
199,Fyc,1345280700
200,anubhav94,1381845600
201,nherceg,1391449500
202,vovuh,1410543000
203,AminAnvari,1413481200
204,Guty,1423938600
205,mahdigh,1422902100
206,alohayeop,1446662700
207,matinaghaei,1435421400
208,Guts,1394040600
209,batyrkhan14,1358098200
210,Ricson,1447612500
211,Rap_Promoter,1344965400
212,fadeeva.kate.22.03,1401471000
213,octopuses,1365355800
214,I_Love_Tina,1411752600
215,rickytheta,1445770800
216,zeppelin,1447612500
217,alexpizarroj,1358357400
218,Rajinikanth_,1447612500
219,ndatta,1360776600
220,tonykky,1446662700
221,baqargam,1363541700
222,MohammadAminVali,1441910400
223,giraffeh,1416597600
224,Pavluha,1401903000
225,sarveshmahajan,1384110000
226,nigus,1430418600
227,BishalG,1384882500
228,csurfer,1435421400
229,TheTerminalGuy,1370626200
230,norpadon,1398619800
231,msstar,1397844600
